-1,3.0,215.0,5.0,216.0,214.0,100.93,429496.7295,79.0715,429496.7295,18.8578,373.7336,49
0,3.0,5.0,7.0,9.0,11.0,3404.6,429496.7295,2574.1806,429496.7295,18.9861,378.6771,49
0,3.0,7.0,5.0,214.0,9.0,134.08,429496.7295,108.5271,429496.7295,18.8917,374.946,49
0,3.0,5.0,216.0,7.0,215.0,238.5,429496.7295,186.1581,429496.7295,18.9478,377.2175,49
4,3.0,5.0,216.0,7.0,217.0,114.98,429496.7295,93.6996,429496.7295,19.0927,382.9972,49
3,3.0,217.0,5.0,216.0,68.0,106.88,429496.7295,87.27,429496.7295,18.8985,375.2075,49
1,3.0,5.0,217.0,215.0,216.0,114.54,429496.7295,93.4674,429496.7295,18.7456,369.0937,49
2,3.0,217.0,216.0,5.0,11.0,118.26,429496.7295,93.0746,429496.7295,18.9286,376.7352,49
-1,3.0,5.0,217.0,216.0,9.0,165.56,429496.7295,129.8609,429496.7295,19.1251,384.3691,49
1,3.0,5.0,7.0,217.0,9.0,265.01,429496.7295,205.8839,429496.7295,19.0477,381.0825,49
-1,3.0,5.0,217.0,216.0,7.0,169.16,429496.7295,132.8358,429496.7295,18.8778,374.3769,49
2,3.0,5.0,7.0,217.0,218.0,152.0999,429496.7295,123.8323,429496.7295,18.9935,379.2454,49
0,3.0,5.0,217.0,218.0,7.0,95.44,429496.7295,79.031,429496.7295,18.8661,373.9721,49
-1,3.0,5.0,215.0,214.0,213.0,85.4899,429496.7295,72.5453,429496.7295,18.9547,377.6788,49
4,3.0,5.0,4.0,217.0,218.0,194.62,429496.7295,158.6541,429496.7295,18.9947,379.9124,49
1,3.0,216.0,5.0,217.0,7.0,110.48,429496.7295,90.5605,429496.7295,18.8953,375.1197,49
0,3.0,5.0,216.0,215.0,9.0,139.22,429496.7295,108.7462,429496.7295,18.8722,374.2677,49
0,3.0,218.0,5.0,7.0,217.0,142.3199,429496.7295,117.5541,429496.7295,18.8451,373.2041,49
2,3.0,218.0,5.0,7.0,219.0,139.4599,429496.7295,113.2971,429496.7295,18.9835,378.7145,49
0,3.0,5.0,218.0,217.0,7.0,114.86,429496.7295,90.5736,429496.7295,19.0289,380.5775,49
3,3.0,5.0,218.0,217.0,219.0,97.2099,429496.7295,79.8962,429496.7295,18.948,377.2869,49
1,3.0,5.0,7.0,217.0,215.0,131.8,429496.7295,107.1295,429496.7295,18.864,373.7535,49
0,3.0,5.0,11.0,9.0,7.0,404.02,429496.7295,319.6462,429496.7295,19.117,384.15,49
0,3.0,5.0,7.0,216.0,215.0,236.94,429496.7295,198.947,429496.7295,19.0659,382.0518,49
-1,3.0,7.0,5.0,215.0,9.0,131.14,429496.7295,104.5709,429496.7295,19.1519,385.5257,49
0,3.0,5.0,7.0,215.0,9.0,197.6599,429496.7295,154.5374,429496.7295,19.0283,380.4928,49
5,3.0,7.0,216.0,215.0,9.0,259.47,429496.7295,211.719,429496.7295,18.6079,363.6081,49
2,3.0,5.0,216.0,215.0,214.0,132.48,429496.7295,105.9351,429496.7295,18.8421,373.1411,49
0,3.0,5.0,7.0,9.0,216.0,234.51,429496.7295,181.4823,429496.7295,18.9367,376.5429,49
3,5.0,3.0,2.0,216.0,213.0,163.09,429496.7295,131.2017,429496.7295,18.4435,356.9044,49
3,3.0,5.0,216.0,9.0,217.0,131.3199,429496.7295,104.4174,429496.7295,19.2076,387.7873,49
4,3.0,216.0,5.0,213.0,215.0,107.87,429496.7295,87.4818,429496.7295,18.635,364.5445,49
3,2.9744,5.0,7.0,213.0,11.0,348.76,429496.7295,270.5131,429496.7295,18.7579,369.481,49
