-47,1.0,2.0,7.0,5.0,46.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,13335,0
-46,1.0,46.0,6.0,4.0,11.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0465,13388,0
-41,1.0,2.0,4.0,5.0,12.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,13407,0
-47,1.0,9.0,4.0,3.0,2.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,13433,0
-30,6.0,15.0,2.0,46.0,5.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,13474,0
-39,2.0,9.0,46.0,7.0,6.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,13519,0
-44,1.0,5.0,100.0,46.0,11.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,13579,0
-29,1.0,2.0,4.0,3.0,100.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,14044,0
-40,1.0,2.0,46.0,4.0,5.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,14055,0
-43,1.0,2.0,3.0,17.0,5.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,14063,0
-44,1.0,2.0,5.0,3.0,46.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,14064,0
-44,1.0,100.0,17.0,2.0,46.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,14065,0
-44,2.0,1.0,3.0,46.0,12.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,14197,0
-47,1.0,2.0,3.0,4.0,5.0,429496.7295,429496.7295,429496.7295,429496.7295,11.0498,121.0466,14198,0
